siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s36449,4390824,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,PIP5K2C,NM_024779.4;NM_001146259.1;NM_001146260.1;XM_017019973.1;NM_001146258.1;XM_005269152.2,AX754970.1;AK125526.1;AK302254.1;AK225343.1;BC028596.2;AK075553.1;AK297243.1;AK315588.1;AK225685.1;AK025708.1,,Silencer® Select,Inventoried,,*,,,,
s17929,4390824,KIF3B,kinesin family member 3B,FLA8;HH0048;KLP-11,NM_004798.3,AK302403.1;BC136310.1;BC136311.1;AB002357.1,,Silencer® Select,Inventoried,,*,,,,
s9031,4390824,NUDT1,nudix hydrolase 1,MTH1,NM_198949.1;NM_198948.1;NM_198952.1;NM_198950.1;NM_198954.1;NM_198953.1;NM_002452.3,BC065367.1;AB025242.1;AB025234.1;AK026631.1;AB025236.1;AB025238.1;BC051375.1;BM927392.1;AB025240.1;D16581.1;BC014618.2;BC040144.1;AB025241.1;AB025233.1;AB025235.1;AB025237.1;CR407655.1;AB025239.1,,Silencer® Select,Inventoried,,*,,,,
s17227,4390824,UBA3,ubiquitin like modifier activating enzyme 3,NAE2;UBE1C;hUBA3,XM_011534211.1;XM_011534210.1;NM_003968.3;NM_198195.1,CR533537.1;AK289392.1;BC022853.1;AL117566.1;AB012190.1;AK314751.1;AK002159.1;AF046024.1;AK316540.1;AK298878.1,,Silencer® Select,Inventoried,,*,,,,
s1416,4390824,NUDT2,nudix hydrolase 2,APAH1,NM_001244390.1;NM_001161.4;NM_147172.2;NM_147173.2,BC004926.2;U30313.1,,Silencer® Select,Inventoried,,*,,,,
s8959,4390824,MRE11A,MRE11 homolog A, double strand break repair nuclease,ATLD;HNGS1;MRE11;MRE11B,XM_017017773.1;XM_017017772.1;XM_005274008.3;XM_011542837.2;NM_005591.3;XM_006718842.3;NM_005590.3,AF022778.1;KU178200.1;BT006730.1;AF073362.1;BC005241.1;AK095388.1;BC017823.1;U37359.1;BC063458.1;KU178199.1;AK308318.1,,Silencer® Select,Inventoried,,*,,,
s37150,4390824,ITPKC,inositol-trisphosphate 3-kinase C,IP3-3KC;IP3KC,NM_025194.2;XM_017027324.1,AJ290975.1;BC060788.1;AK024596.1;D38169.1,,Silencer® Select,Inventoried,,*,,,,
s1454,4390824,XIAP,X-linked inhibitor of apoptosis,API3;BIRC4;IAP-3;ILP1;MIHA;XLP2;hIAP-3;hIAP3,NM_001204401.1;XM_006724754.2;XM_011531329.2;NM_001167.3,AK313883.1;BC032729.1;U32974.1,,Silencer® Select,Inventoried,,*,,,,
s23568,4390824,USP22,ubiquitin specific peptidase 22,USP3L,XM_005256575.2;NM_015276.1,BC126898.1;AB028986.1;BX640815.1;BC110499.1,,Silencer® Select,Inventoried,,*,,,,
s34992,4390824,ELOVL1,ELOVL fatty acid elongase 1,CGI-88;Ssc1,NR_046117.1;NM_022821.3;NM_001256399.1;NM_001256401.1,AK130174.1;BU857779.1;BC000618.2;BP208926.1;AK298163.1;BC095456.1;AK222498.1;BP281965.1;AL537185.3;AF336793.1;BU786323.1;AK001653.1;AF151846.1,,Silencer® Select,Inventoried,,*,,,,
s13778,4390824,TAP1,transporter 1, ATP binding cassette subfamily B member,ABC17;ABCB2;APT1;D6S114E;PSF-1;PSF1;RING4;TAP1*0102N;TAP1N,NM_000593.5;NM_001292022.1,L21204.1;L21205.1;L21206.1;L21207.1;L21208.1;X57522.1;AK313762.1;KU178346.1;X57521.1;AK302340.1;AY523971.2;BX648013.1;AY523970.1;AB012644.1;BC014081.2,,Silencer® Select,Inventoried,,*,,,
s24557,4390824,PRDX5,peroxiredoxin 5,ACR1;AOEB166;B166;HEL-S-55;PLP;PMP20;PRDX6;PRXV;SBBI10;prx-V,NM_181652.2;NM_181651.2;XM_005273882.4;NM_012094.4,FJ224298.1;BC110983.1;BC171733.1;AF124993.1;BC143849.1;CR457203.1;BC113725.1;BC113723.1;AF112212.1;AF242525.1;AJ249483.1;AF197952.1;BU598032.1;AF110731.1;AF231705.1,,Silencer® Select,Inventoried,,*,,,,
s19381,4390824,NR1D2,nuclear receptor subfamily 1 group D member 2,BD73;EAR-1R;RVR,NM_001145425.1;NR_110524.1;NM_005126.4;XM_006713451.3,AK313464.1;AB307693.1;D16815.1;HQ692830.1;AK301925.1;CR457434.1;BC070035.1;L31785.1;DR004486.1;AB209091.1;BC045613.1,,Silencer® Select,Inventoried,,*,,,,
s565,4390824,EGFR,epidermal growth factor receptor,ERBB;ERBB1;HER1;NISBD2;PIG61;mENA,NM_005228.3;NM_201284.1;NM_201282.1;NM_201283.1,U48722.1;AK290352.1;AB209442.1;AW163038.1;AF125253.1;AK225422.1;DQ088980.1;HQ912715.1;AY550966.1;AK294750.1;K03193.1;BC094761.1;AY698024.1;U95089.1;GU255993.1;X00588.1;AY698023.1,,Silencer® Select,Inventoried,,*,,,,
s227,4390824,IDH2,isocitrate dehydrogenase (NADP(+)) 2, mitochondrial,D2HGA2;ICD-M;IDH;IDHM;IDP;IDPM;mNADP-IDH,NM_002168.3;NM_001289910.1;NM_001290114.1,AK299987.1;BC009244.2;AK222916.1;AK294148.1;AK312627.1;BC071828.1;AK316388.1;X69433.1,,Silencer® Select,Inventoried,,*,,,
s1517,4390824,AQP1,aquaporin 1 (Colton blood group),AQP-CHIP;CHIP28;CO,NM_001185062.1;NM_001185061.1;NM_198098.2;NM_001185060.1,AK300995.1;S73482.1;AK309691.1;AY312580.1;AK301351.1;M77829.1;U41517.1;U41518.1;AK309608.1;AK298313.1;BC022486.1,,Silencer® Select,Inventoried,,*,,,,
s749,4390824,FKBP14,FK506 binding protein 14,EDSKMH;FKBP22;IPBP12,NR_046478.1;NM_017946.3,DA166879.1;DB498479.1;AK000738.1;BC005206.1;AY358643.1;JQ797475.1,,Silencer® Select,Inventoried,,*,,,,
s41250,4390824,SFXN1,sideroflexin 1,TCC,NM_022754.6;NM_001322983.1;NM_001322982.1;NM_001322981.1;NM_001322980.1;NM_001322978.1;NM_001322977.1,AK022938.1;BC020517.1;AF327346.1;AK056915.1;BC063241.1;BX648188.1;AK022287.1,,Silencer® Select,Inventoried,,*,,,,
s354,4390824,RPL7,ribosomal protein L7,L7;humL7-1,XM_006716463.2;NM_000971.3,BC071894.1;BC071671.1;AK225254.1;X57958.1;AK291119.1;CR456773.1;L16558.1;BC087837.1;AK225246.1;BC008850.2;BC009599.1;X52967.1;BC006095.1;X57959.1;BC071895.1;AK313365.1,,Silencer® Select,Inventoried,,*,,,,
s224517,4390824,RAP2A,RAP2A, member of RAS oncogene family,K-REV;KREV;RAP2;RbBP-30,NM_021033.6,BC041333.2;AK315139.1;AF493914.1;AK311202.1;BC070031.1;AF205602.1;X12534.1,,Silencer® Select,Inventoried,,*,,,
s1555,4390824,ARF3,ADP ribosylation factor 3,,XM_006719391.3;NM_001659.2;XM_005268856.1,BT006670.1;AF493882.1;BC007762.2;BC017565.2;BC007647.1;M74491.1;BC028402.2;AK291633.1,,Silencer® Select,Inventoried,,*,,,,
s761,4390824,TBK1,TANK binding kinase 1,FTDALS4;NAK;T2K,XM_005268809.1;XM_005268810.1;NM_013254.3,AK303683.1;BC034950.2;AK291039.1;AF191838.1;AK002192.1;AF174536.1,,Silencer® Select,Inventoried,,*,,,,
s17342,4390824,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,GPI1;c407A10.1,NM_148920.2;NM_004204.3,AF030177.1;BC006377.2;AK300297.1;AB003723.1;AK314361.1,,Silencer® Select,Inventoried,,*,,,,
s6677,4390824,HMOX2,heme oxygenase 2,HO-2,XM_017023197.1;NM_001286271.1;NM_001127204.1;NM_001127205.1;XM_011522473.1;NM_001127206.2;NM_001286270.1;NM_001286269.1;NM_001286268.1;XM_017023196.1;NM_002134.3;NM_001286267.1,AK093388.1;BM905872.1;D21243.1;AK222629.1;CR541839.1;BC002396.2;CR456760.1;BT019788.1;S34389.1;AK313660.1,,Silencer® Select,Inventoried,,*,,,,
s34338,4390824,KIF13A,kinesin family member 13A,RBKIN;bA500C11.2,NM_001105566.2;NM_001105567.2;NM_001105568.2;XM_017011193.1;XM_017011190.1;NM_022113.5;XM_017011189.1;XM_017011192.1;XM_017011191.1;XM_017011188.1,BC127115.1;BC127116.1;AJ291578.1;AJ291579.1;AY014404.1;AY014403.1,,Silencer® Select,Inventoried,,*,,,,
s7906,4390824,KIFC1,kinesin family member C1,HSET;KNSL2,XM_011514587.2;NM_002263.3;XM_011514585.1;XM_017010837.1;XM_017010836.1,AK297378.1;BC063567.1;BC121042.1;BC121041.1;BC073878.1;AK303239.1;BC000712.2;D14678.1;BC098438.1,,Silencer® Select,Inventoried,,*,,,,
s2943,4390824,CTSC,cathepsin C,CPPI;DPP-I;DPP1;DPPI;HMS;JP;JPD;PALS;PDON1;PLS,NM_001814.5;NM_001114173.2;NM_148170.4,AK223038.1;AK292117.1;AF525033.1;BC109386.1;BC100894.1;BX380095.2;BC100891.1;AF234264.1;AF234263.1;BC100892.1;CB114425.1;AK311923.1;BX459226.2;BC054028.1;AF525032.1;BC113897.1;BC100893.1;AK296190.1;AF254757.1;CN368896.1;BX537913.1;X87212.1;BC113850.1;BC110071.1,,Silencer® Select,Inventoried,,*,,,,
s3580,4390824,CRYZ,crystallin zeta,,NM_001889.3;XM_011540747.1;NM_001134759.1;XM_017000367.1;XM_017000368.1;NM_001130043.1;XM_005270491.4;NM_001130042.1,AK223201.1;AK123469.1;AK223150.1;BX649061.1;AB209714.1;AK128794.1;AK314813.1;BX647883.1;BC039578.1;L13278.1;BC070058.1,,Silencer® Select,Inventoried,,*,,,,
s9201,4390824,MYO1C,myosin IC,MMI-beta;MMIb;NMI;myr2,NM_001080950.1;NM_001080779.1;NM_033375.4,AK292910.1;DB241937.1;BC068013.1;AB210015.1;BC044891.1;AK304782.1;AK295761.1;X98507.1,,Silencer® Select,Inventoried,,*,,,,
s20125,4390824,BCKDK,branched chain ketoacid dehydrogenase kinase,BCKDKD;BDK,XM_017022859.1;NM_005881.3;NM_001122957.2,AK294691.1;CR542093.1;AK130145.1;BC007363.2;AF026548.1,,Silencer® Select,Inventoried,,*,,,,
s10575,4390824,PKM,pyruvate kinase, muscle,CTHBP;HEL-S-30;OIP3;PK3;PKM2;TCB;THBP1,NM_002654.5;NM_001206796.2;XM_017022313.1;XM_005254445.4;NM_001206799.1;NM_001316318.1;NM_001206797.2;NM_001206798.2;XM_011521670.2;NM_182471.3;XM_005254443.1;NM_182470.3;XM_006720570.1,BC007640.1;AK294315.1;BC000481.2;M26252.1;EU794631.1;M23725.1;BC094767.1;BC096823.1;AK299413.1;AK309781.1;BC035198.1;Z36786.1;BC019265.2;AK300800.1;BC023328.1;AK308264.1;AK297951.1;AK312253.1;BC012811.2;BC023592.2;AK307855.1;BC007952.2;AK092369.1;AK222927.1,,Silencer® Select,Inventoried,,*,,,
s10527,4390824,PIM1,Pim-1 proto-oncogene, serine/threonine kinase,PIM,NM_001243186.1;NM_002648.3,DQ022562.1;BC020224.1;M54915.1;M24779.1;M16750.1,,Silencer® Select,Inventoried,,*,,,
s17921,4390824,SLC9A3R1,SLC9A3 regulator 1,EBP50;NHERF;NHERF-1;NHERF1;NPHLOP2,NM_004252.4,BC049220.1;BC003361.1;BX648303.1;AK026581.1;AF015926.1;AF036241.1;BC011777.1;AK312498.1;AK128474.1;BC053350.1;BC001443.2,,Silencer® Select,Inventoried,,*,,,,
s10517,4390824,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,VPS34;Vps34;hVps34,NM_001308020.1;XM_011526031.2;NM_002647.3,Z46973.1;AK090567.1;BC053651.1;AK298517.1;BC033004.2,,Silencer® Select,Inventoried,,*,,,,
s11382,4390824,PSMC5,proteasome 26S subunit, ATPase 5,S8;SUG-1;SUG1;TBP10;TRIP1;p45;p45/SUG,NM_002805.5;NM_001199163.1,BC127888.1;L38810.1;AK291878.1;BC002367.2;D44467.1;AF035309.1;AK290758.1;AK095836.1;BF245599.1;BC001932.1;AK098484.1,,Silencer® Select,Inventoried,,*,,,
s16333,4390824,AKR7A2,aldo-keto reductase family 7 member A2,AFAR;AFAR1;AFB1-AR1;AKR7,NM_003689.3;NM_001320979.1,BC011586.1;AK225267.1;BC004111.2;BC010852.1;BC013996.2;BC012171.1;Y16675.1;AF026947.1;BU944847.1;BC007352.2;EU794591.1,,Silencer® Select,Inventoried,,*,,,,
s19443,4390824,ACOT8,acyl-CoA thioesterase 8,HNAACTE;NAP1;PTE-1;PTE-2;PTE1;PTE2;hACTE-III;hTE,NM_005469.3;XM_005260239.3;XM_011528480.2,BC117155.1;AK292494.1;CR541771.1;DB470803.3;X86032.1;AF014404.1;AK126206.1;BC117157.1;BI911038.1;CR541778.1;AK296973.1;AF124264.1;AK056668.1,,Silencer® Select,Inventoried,,*,,,,
s40200,4390824,UBE3B,ubiquitin protein ligase E3B,BPIDS;KOS,XM_017020195.1;XM_006719681.3;XM_005253987.2;XM_006719682.2;XM_011538961.1;XM_011538959.2;NM_130466.3;NM_183415.2,AF130072.1;AK307385.1;BC144684.1;AL096740.1;BC032301.1;AF251046.2;BX537403.1;BC141880.1;BC150637.1,,Silencer® Select,Inventoried,,*,,,,
s4383,4390824,DUSP7,dual specificity phosphatase 7,MKPX;PYST2,NM_001947.3,X93921.1;BC104880.1;BC019107.2;AF508727.1;AF508728.1;BC104882.1,,Silencer® Select,Inventoried,,*,,,,
s23822,4390824,GPR161,G protein-coupled receptor 161,RE2,XM_017000861.1;XM_017000860.1;XM_017000859.1;XM_017000858.1;NM_153832.2;NM_001267614.1;NM_001267613.1;NM_001267612.1;XM_006711251.1;NM_001267611.1;NM_001267610.1;XM_006711253.2;XM_017000862.1;NM_001267609.1;XM_011509370.1;XM_011509373.2;XM_005245055.2;XM_005245056.2;XM_011509371.2;XM_005245057.4;XM_011509372.1;XM_011509377.1;XM_011509378.1;XM_011509375.2;XM_011509376.2,AK122656.1;AK299634.1;AY275468.1;AK310019.1;AF091890.1;AK298850.1;AK056040.1;AK298797.1;BC028163.1,,Silencer® Select,Inventoried,,*,,,,
s743,4390824,STAT3,signal transducer and activator of transcription 3,ADMIO;ADMIO1;APRF;HIES,XM_017024972.1;XM_017024973.1;XM_017024974.1;XM_017024975.1;NM_003150.3;XM_017024976.1;XM_011525145.2;XM_011525146.2;NM_213662.1;NM_139276.2;XM_005257616.3;XM_005257617.3,AK301200.1;AK291933.1;BC014482.1;BC000627.2;AK316139.1;AJ012463.1;AB451232.1;AK297994.1,,Silencer® Select,Inventoried,,*,,,,
s5865,4390824,GNA12,G protein subunit alpha 12,NNX3;RMP;gep,NM_007353.2;NM_001293092.1,BC087537.1;L01694.1;BC111464.1;AK295830.1;BM557907.1;AF493901.1;BI553022.1,,Silencer® Select,Inventoried,,*,,,,
s2385,4390824,CAPNS1,calpain small subunit 1,CALPAIN4;CANP;CANPS;CAPN4;CDPS;CSS1,NM_001003962.2;NM_001302633.1;NM_001302632.1;XM_005259295.1;XM_011527359.1;XM_005259296.1;NM_001749.3,BC007779.2;CN349928.1;BC064998.1;BT009775.1;BQ891655.1;BC018931.2;AY007141.1;BF822052.1;AK289606.1;BC017308.2;BC011903.2;X04106.1;BC023643.2;BC021933.1;BC000592.2,,Silencer® Select,Inventoried,,*,,,,
s15440,4390824,USP7,ubiquitin specific peptidase 7 (herpes virus-associated),HAUSP;TEF1,XM_017023653.1;XM_017023652.1;NM_001321858.1;NM_001286458.1;NM_001286457.1;NR_135826.1;NM_003470.2,AK302872.1;AK302771.1;AK302912.1;Z72499.1;AY376241.1;AK316441.1;AK302481.1,,Silencer® Select,Inventoried,,*,,,,
s1629,4390824,ARSB,arylsulfatase B,ASB;G4S;MPS6,XM_011543393.1;NM_000046.3;XM_011543392.2;XM_011543391.2;XM_011543390.1;XM_017009471.1;NM_198709.2,BC029051.1;M32373.1;AK290865.1;J05225.1,,Silencer® Select,Inventoried,,*,,,,
s9207,4390824,MYO5A,myosin VA,GS1;MYH12;MYO5;MYR12,XM_011521607.2;XM_011521606.2;XM_011521610.2;XM_005254397.3;NM_001142495.1;XM_011521608.2;XM_011521609.2;XM_011521612.2;XM_011521611.2;NM_000259.3;XM_017022227.1,U90942.1;AB290180.1;AK307600.1;Y07759.1,,Silencer® Select,Inventoried,,*,,,,
s11635,4390824,ALDH18A1,aldehyde dehydrogenase 18 family member A1,ADCL3;ARCL3A;GSAS;P5CS;PYCS;SPG9A;SPG9B,NM_001017423.1;NM_001323413.1;NM_001323412.1;NM_002860.3;NM_001323419.1;NM_001323418.1;NM_001323417.1;NM_001323416.1;NM_001323415.1;NM_001323414.1,BC117242.1;BC143930.1;BC106054.1;X94453.1;BC117240.1;AK295487.1;U68758.1;U76542.1;AK299557.1;AK312271.1,,Silencer® Select,Inventoried,,*,,,,
s504,4390824,CHEK1,checkpoint kinase 1,CHK1,NM_001274.5;NM_001114121.2;XM_017017146.1;XM_011542562.2;NR_045205.1;NM_001114122.2;XM_011542563.2;NR_045204.1;NM_001244846.1;XM_011542560.2;XM_011542561.2,AK293143.1;AK292549.1;AB451345.1;JF289264.1;BC017575.1;AK300082.1;AF032874.1;BG468734.1;BC004202.2;AK299783.1;AB451222.1;AF016582.1,,Silencer® Select,Inventoried,,*,,,,
s4069,4390824,COCH,cochlin,COCH-5B2;COCH5B2;DFNA9,XM_017021071.1;NM_001135058.1;NM_004086.2;XM_017021073.1;XM_017021072.1,AK292724.1;AF006740.1;BC007230.1;AK123362.1;AK130273.1;BC018827.2;AY358900.1,,Silencer® Select,Inventoried,,*,,,,
s17920,4390824,SLC9A3R1,SLC9A3 regulator 1,EBP50;NHERF;NHERF-1;NHERF1;NPHLOP2,NM_004252.4,BC049220.1;BC003361.1;BX648303.1;AK026581.1;AF036241.1;AF015926.1;AK312498.1;BC011777.1;AK128474.1;BC053350.1;BC001443.2,,Silencer® Select,Inventoried,,*,,,,
s206,4390824,CDK2,cyclin dependent kinase 2,CDKN2;p33(CDK2),NM_001290230.1;NM_001798.4;NM_052827.3;XM_011537732.1,AB012305.1;M68520.1;AK291941.1;AK293246.1;BC003065.2;BT006821.1;X61622.1;X62071.1;BJ991087.1;DA814453.1,,Silencer® Select,Inventoried,,*,,,,
s21077,4390824,YME1L1,YME1 like 1 ATPase,FTSH;MEG4;PAMP;YME1L,NM_139312.2;NM_014263.3,AY358484.1;BC023507.2;AJ132637.1;AF151782.1;AK314372.1;AK291292.1;BC007795.2;BC024032.2,,Silencer® Select,Inventoried,,*,,,,
s7424,4390824,INCENP,inner centromere protein,,NM_020238.2;NM_001040694.1;XM_011544995.2;XM_011544996.2;XM_006718533.2;XM_011544998.2;XM_011544997.2,AY714053.1;BC098576.1;BC032678.1;AF282265.1;AK307633.1;AK056195.1,,Silencer® Select,Inventoried,,*,,,,
s13766,4390824,MAP3K7,mitogen-activated protein kinase kinase kinase 7,MEKK7;TAK1;TGF1a,XM_017011226.1;NM_145333.2;NM_145331.2;NM_003188.3;XM_006715553.2;NM_145332.2,AK315774.1;BT019654.1;AF218074.1;AB009358.2;AB009356.1;AB009357.1;AL520975.3;BM172351.1;BT019655.1;BC017715.2,,Silencer® Select,Inventoried,,*,,,,
s15441,4390824,USP7,ubiquitin specific peptidase 7 (herpes virus-associated),HAUSP;TEF1,NM_001321858.1;NM_001286458.1;NM_001286457.1;XM_017023653.1;XM_017023652.1;NM_003470.2,AK302771.1;AY376241.1;AK316441.1;AK302912.1;AK302481.1;Z72499.1,,Silencer® Select,Inventoried,,*,,,,
s3708,4390824,CTGF,connective tissue growth factor,CCN2;HCS24;IGFBP8;NOV2,NM_001901.2,X78947.1;CR541734.1;AY550024.1;BT019795.1;CR541759.1;AK315207.1;BC087839.1;U14750.1;AY395801.1;AK290884.1;AK092280.1;BT019794.1;AK125220.1;M92934.1,,Silencer® Select,Inventoried,,*,,,,
s13450,4390824,SRPK1,SRSF protein kinase 1,SFRSK1,NR_034069.1;NM_003137.4,DB233331.1;BX648697.1;BG772464.1;AK299591.1;BX648663.1;AK312712.1;AJ318054.1;AK292277.1;BC038292.1,,Silencer® Select,Inventoried,,*,,,,
s10540,4390824,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,MPPH;MPPH1;P85B;p85;p85-BETA,NR_073517.1;NM_005027.3,X80907.1;BC032647.1;BC070082.1;BC011917.2;BC090249.1,,Silencer® Select,Inventoried,,*,,,,
s43238,4390824,UHMK1,U2AF homology motif (UHM) kinase 1,KIS;KIST;P-CIP2,NM_001184763.1;NM_144624.2;NM_175866.4,BC026046.1;AK292369.1;AK058195.1;AJ536197.1;AL834136.1;BC014917.1,,Silencer® Select,Inventoried,,*,,,,
s321,4390824,CAPN2,calpain 2,CANP2;CANPL2;CANPml;mCANP,NM_001146068.1;NM_001748.4,AK315179.1;AK124751.1;AK297800.1;BC021303.2;M23254.1;AK316211.1;AK023851.1;AK303952.1;AF261089.1;AK056838.1;AK097247.1;AB209855.1,,Silencer® Select,Inventoried,,*,,,,
s41695,4390824,OSBPL9,oxysterol binding protein like 9,ORP-9;ORP9,XM_006710325.3;XM_006710324.3;XM_006710326.2;XM_006710321.2;XM_011540603.2;NR_036662.1;XM_011540602.2;XM_006710320.3;XM_006710323.2;XM_006710322.3;XM_011540604.2;NM_148906.2;XM_011540600.2;NM_148905.3;NM_148904.3;XM_006710318.2;NM_148909.3;NM_148908.3;NM_148907.2;XM_017000218.1;NM_024586.5;XM_017000219.1;XM_017000220.1;XM_017000221.1;XM_017000222.1;XM_017000223.1;XM_011540599.2;XM_011540601.2;XM_017000224.1;XM_017000225.1,AY178997.1;AK022554.1;AF392445.1;BC025978.2;AK056617.1;AK027707.1;AK124037.1;CR457288.1;AK128043.1;AK091703.1;AK297656.1;AK027535.1;AK315167.1,,Silencer® Select,Inventoried,,*,,,,
s11057,4390824,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,AMPK;AMPK2;AMPKa2;PRKAA,NM_006252.3;XM_017001694.1;XM_017001693.1;XM_017001692.1,FJ200485.1;BC069823.1;BC069740.1;FJ200486.1;AK314011.1;BC069680.1;DA710012.1;HQ628625.1;EF056019.1;U06454.1,,Silencer® Select,Inventoried,,*,,,,
s10807,4390824,POLR2E,RNA polymerase II subunit E,RPABC1;RPB5;XAP4;hRPB25;hsRPB5,NM_001316324.1;NM_001316323.1;NM_002695.3,BC004441.1;DC351659.1;AK295975.1;AK312625.1;BC034144.1;J04965.1;AK122813.1,,Silencer® Select,Inventoried,,*,,,,
s8290,4390824,LRP6,LDL receptor related protein 6,ADCAD2;STHAG7,XM_017019304.1;XM_006719078.3;XM_011520671.2;NM_002336.2,BC126405.1;BC143725.1;BC117136.1;AB209683.1;AF074264.1;AK074902.1,,Silencer® Select,Inventoried,,*,,,,
s45608,4390824,PPM1L,protein phosphatase, Mg2+/Mn2+ dependent 1L,PP2C-epsilon;PP2CE;PPM1-LIKE,NM_139245.3;NR_134243.1;NM_001317912.1;NM_001317911.1;XM_011512440.2,AY337264.1;BC104887.1;AK055115.1;BC104885.1,,Silencer® Select,Inventoried,,*,,,
s13564,4390824,NEK4,NIMA related kinase 4,NRK2;STK2;pp12301,NM_001193533.1;XM_006713310.2;NM_003157.4;XM_017007086.1;XM_011534039.2;XM_017007085.1;XM_011534040.2,AK312420.1;AK294165.1;KJ592714.1;BC063044.1;L20321.1;BC015515.1;EF560744.1,,Silencer® Select,Inventoried,,*,,,,
s18428,4390824,PRDX6,peroxiredoxin 6,1-Cys;AOP2;HEL-S-128m;NSGPx;PRX;aiPLA2;p29,NM_004905.2,BC035857.1;AJ844621.1;EU794652.1;AK300680.1;D14662.1;AK289352.1;BC053550.1,,Silencer® Select,Inventoried,,*,,,,
s13097,4390824,SLCO2A1,solute carrier organic anion transporter family member 2A1,MATR1;OATP2A1;PGT;PHOAR2;SLC21A2,XM_017007076.1;XM_017007075.1;XM_017007077.1;NM_005630.2,AK303550.1;U70867.1;BC051347.1;BC041140.1,,Silencer® Select,Inventoried,,*,,,,
s14763,4390824,VCL,vinculin,CMD1W;CMH15;HEL114;MV;MVCL,NM_014000.2;NM_003373.3,BC039174.1;AK296509.1;BX537994.1;EU794673.1;AK126978.1;AL832130.1;AK300280.1;M33308.1,,Silencer® Select,Inventoried,,*,,,,
s30487,4390824,ETNK2,ethanolamine kinase 2,EKI2;HMFT1716,XM_011509715.1;XM_011509714.2;XM_017001632.1;NM_001297762.1;NM_018208.3;NM_001297761.1;NM_001297760.1,AK302145.1;AK293426.1;AB073608.1;BC010082.2;AK316493.1;AK001623.1,,Silencer® Select,Inventoried,,*,,,,
s5398,4390824,FUCA2,fucosidase, alpha-L- 2, plasma,dJ20N2.5,NM_032020.4,BC003060.2;AK075458.1;BX537633.1;BC051268.1;AK315475.1;AY358551.1,,Silencer® Select,Inventoried,,*,,
s17417,4390824,SLC16A3,solute carrier family 16 member 3,MCT 3;MCT 4;MCT-3;MCT-4;MCT3;MCT4,NM_001042422.2;NM_001042423.2;NM_001206950.1;NM_004207.3;NM_001206951.1;XM_011523607.1;NM_001206952.1,BC112269.1;U81800.1;AK127319.1;BC112267.1;AK223040.1,,Silencer® Select,Inventoried,,*,,,,
s16788,4390824,TRIM24,tripartite motif containing 24,PTC6;RNF82;TF1A;TIF1;TIF1A;TIF1ALPHA;hTIF1,NM_003852.3;NM_015905.2,AL360186.1;BC028689.2;AF009353.1;AK302679.1;AF119042.1;AK312610.1;AK075306.1,,Silencer® Select,Inventoried,,*,,,,
s36184,4390824,SUV39H2,suppressor of variegation 3-9 homolog 2,KMT1B,NR_034181.1;XM_011519662.2;NM_024670.3;XM_006717503.3;NM_001193424.1;NM_001193425.1;XM_017016637.1,AK222565.1;AK027067.1;AK225369.1;BC007754.2;CR457372.1;AL834488.1,,Silencer® Select,Inventoried,,*,,,,
s4444,4390824,ECT2,epithelial cell transforming 2,ARHGEF31,XM_017005835.1;XM_017005836.1;XM_011512514.2;XM_017005833.1;XM_011512515.2;XM_017005834.1;XM_011512516.1;NM_001258315.1;XM_006713524.3;XM_017005837.1;XM_006713523.3;XM_017005838.1;NM_001258316.1;XM_005247176.1;NM_018098.5;XM_017005831.1;XM_017005832.1;XM_017005830.1,AK308391.1;AK023267.1;AK314581.1;BC112086.1;DQ847274.1;AY376439.1,,Silencer® Select,Inventoried,,*,,,,
s23902,4390824,BRD4,bromodomain containing 4,CAP;HUNK1;HUNKI;MCAP,NM_014299.2;XM_011527856.2;XM_011527855.1;XM_011527854.1;NM_058243.2,BC038988.1;BC067129.1;AF386649.1;BC035266.1;BC000156.1;BC030158.2;BC047888.1;BC091649.1;AK307664.1;Y12059.1,,Silencer® Select,Inventoried,,*,,,,
s223759,4390824,GNAO1,G protein subunit alpha o1,EIEE17;G-ALPHA-o;GNAO;HLA-DQB1,XM_011523003.2;NM_020988.2;NM_138736.2,AK056008.1;AF493895.1;AF493894.1;M19182.1;BC030027.2;CR936770.1;KR081949.1,,Silencer® Select,Inventoried,,*,,,,
s49,4390824,FKBP4,FK506 binding protein 4,FKBP51;FKBP52;FKBP59;HBI;Hsp56;PPIase;p52,XM_011520929.2;NM_002014.3,M88279.1;AK313918.1;BC002887.2;BC001786.1;BC007924.2,,Silencer® Select,Inventoried,,*,,,,
s14685,4390824,NR1H2,nuclear receptor subfamily 1 group H member 2,LXR-b;LXRB;NER;NER-I;RIP15;UNR,NM_007121.5;NM_001256647.1,U14534.1;U07132.1;BC007790.1;CR456706.1;AK091535.1;BC047750.2;AK297978.1;AB307697.1;BC033500.1;BC074500.1;CR749648.1;AK290855.1;HQ692835.1,,Silencer® Select,Inventoried,,*,,,,
